question_id,db_id,correction,verification,Claimed by,question,evidence,SQL,original_question,original_evidence,original_SQL,Reason,Grading method,Data modification,need_correction (o3),has_ambiguity (o3),explanation (o3),revised_SQL (o3),Note
1600,car_retails,TRUE,FALSE,Yuxuan,,,"SELECT COUNT(DISTINCT T1.customerNumber)
FROM `customers` AS T1
JOIN `orders`   AS T2 ON T1.customerNumber = T2.customerNumber
WHERE T2.`status` = 'Cancelled'
  AND T1.`creditLimit` > 115000;","How many customers with a canceled shipment have a credit limit greater than 115,000?",cancelled shipment refers to status = 'cancelled'; creditLimit > 115000;,SELECT COUNT(T1.customerNumber) FROM customers AS T1 INNER JOIN orders AS T2 ON T1.customerNumber = T2.customerNumber WHERE T2.status = 'Cancelled' AND T1.creditLimit > 115000,The original query does not elimincate duplicates caused by join.,multiset,to create duplicates,TRUE,FALSE," The query joins customers to orders, filters cancelled orders and creditLimit >115000, and counts customerNumber values. Because the same customer can have multiple cancelled orders, the join may yield duplicate customer rows; COUNT without DISTINCT would over-count. The sample data just happens to give the same result, but the logic is not guaranteed. Therefore the original query is not reliably correct. The question itself is clear and unambiguous.  ","SELECT COUNT(DISTINCT T1.customerNumber)
FROM `customers` AS T1
JOIN `orders`   AS T2 ON T1.customerNumber = T2.customerNumber
WHERE T2.`status` = 'Cancelled'
  AND T1.`creditLimit` > 115000;",
1607,car_retails,TRUE,FALSE,Yuxuan,"Of the clients whose businesses are located in the city of Boston, calculate which of them has the highest average amount of payment.",,"SELECT T1.customerNumber 
FROM customers AS T1 
INNER JOIN payments AS T2 
  ON T1.customerNumber = T2.customerNumber 
WHERE T1.city = 'Boston' 
GROUP BY T1.customerNumber 
HAVING AVG(T2.amount) = (SELECT AVG(T4.amount) 
  FROM customers AS T3 
  INNER JOIN payments AS T4
    ON T3.customerNumber = T4.customerNumber 
  WHERE T3.city = 'Boston' 
  GROUP BY T3.customerNumber
  ORDER BY AVG(T4.amount) DESC LIMIT 1)","Of the clients whose businesses are located in the city of Boston, calculate which of them has a higher average amount of payment.",average amount payment = AVG(amount);,SELECT T1.customerNumber FROM customers AS T1 INNER JOIN payments AS T2 ON T1.customerNumber = T2.customerNumber WHERE T1.city = 'Boston' GROUP BY T1.customerNumber ORDER BY SUM(T2.amount) / COUNT(T2.paymentDate) DESC LIMIT 1,The original query does not consider potential ties,multiset,to create ties,FALSE,FALSE," The query joins customers and payments, restricts to those whose city is Boston, computes the average payment amount per customer (SUM(amount)/COUNT(paymentDate) ≡ AVG(amount)), orders the customers by that average in descending order, and returns the first row, i.e., the customer with the highest average payment. This directly answers the question. Table and column names are correct; aggregation and filtering are appropriate.  ",(not needed),
1632,car_retails,TRUE,FALSE,Yuxuan,,,,What's the postal code of the office the VP Sales is at?,VP Sales refers to jobTitle,SELECT t2.postalCode FROM employees AS t1 INNER JOIN offices AS t2 ON t1.officeCode = t2.officeCode WHERE t1.jobTitle = 'VP Sales',correct,multiset,,FALSE,FALSE," The schema shows employees linked to offices by `officeCode`. Selecting the `postalCode` of the office for the employee whose `jobTitle` is 'VP Sales' directly answers “What's the postal code of the office the VP Sales is at?”. The join condition and filter are accurate, and the query returns the expected single value (94080) in the sample data. No additional DISTINCT/GROUP BY clauses are required because the title appears once in the data.",,
1645,car_retails,TRUE,FALSE,Yuxuan,,"DIVIDE(COUNT(employeeNumber) when city = 'Paris'), (COUNT(employeeNumber))*100 as percentage;",,What is the percentage of employees are in Paris office?,"DIVIDE(COUNT(employeeNumber) when city = 'Paris'), (COUNT(employeeNumber)) as percentage;",SELECT CAST(COUNT(CASE WHEN t1.city = 'Paris' THEN t2.employeeNumber ELSE NULL END) AS REAL) * 100 / COUNT(t2.employeeNumber) FROM offices AS t1 INNER JOIN employees AS t2 ON t1.officeCode = t2.officeCode,The original evidence misses *100 for percentage calculation,multiset,,FALSE,FALSE," The query joins `offices` with `employees`, counts employees whose office city is 'Paris', divides by the total employee count, and multiplies by 100. Because `employeeNumber` is the PK in `employees`, the join produces exactly one row per employee, so the counts are accurate and duplicates cannot arise. Casting the numerator to REAL forces floating-point division, giving the desired percentage. Test runs show 5 Paris employees out of 23 total (5/23*100 ≈ 21.74), identical to the query output, confirming correctness.",,
1649,car_retails,TRUE,FALSE,Yuxuan,,"DIVIDE(SUM(amount) where customerName = 'Atelier graphique'), (SUM(amount)) as percentage where year(paymentDate)*100 = 2004;",,What is the percentage of the payment amount in 2004 was made by Atelier graphique?,"DIVIDE(SUM(amount) where customerName = 'Atelier graphique'), (SUM(amount)) as percentage where year(paymentDate) = 2004;","SELECT SUM(CASE WHEN t1.customerName = 'Atelier graphique' THEN t2.amount ELSE 0 END) * 100 / SUM(t2.amount) FROM customers AS t1 INNER JOIN payments AS t2 ON t1.customerNumber = t2.customerNumber WHERE STRFTIME('%Y', t2.paymentDate) = '2004'",The original evidence misses *100 for percentage calculation,multiset,,FALSE,FALSE," The query joins customers with payments, restricts to 2004 payments, sums the amount for Atelier graphique to form the numerator, divides by the sum of all 2004 payments to form the denominator, and multiplies by 100, thus returning the requested percentage. All referenced tables/columns exist, join cardinality does not introduce duplicates, and aggregation is handled properly. The question clearly asks for this percentage share, so no ambiguity arises.",,
1666,car_retails,TRUE,FALSE,Yuxuan,Which 5 products has the lowest ordered quantities in total? List the product names.,ordered quantity in total refers to SUM(quantityOrdered);,,Which 5 products has the lowest amount of orders? List the product names.,The lowest amount of orders refers to MIN(quantityOrdered);,SELECT t2.productName FROM orderdetails AS t1 INNER JOIN products AS t2 ON t1.productCode = t2.productCode GROUP BY t2.productName ORDER BY SUM(t1.quantityOrdered) ASC LIMIT 5,"1. the original query is ambiguous about the ranking criteria. Amount of orders can be interpreted as ordered quantity or number of orders.
2. the original query groups results by product name, which is not robust to cases where two produces share the same name but different codes.",multiset,,TRUE,TRUE,"  
The query groups `orderdetails` by each product and orders the result by `SUM(quantityOrdered)` to obtain the five products with the smallest total quantity sold.  
However, the question asks for the five products that have the “lowest amount of orders.”  In ordinary wording, “amount of orders” is better interpreted as the number of orders in which the product appears (COUNT of orders), not the total quantity of items sold.  When that interpretation is applied, the correct metric is COUNT(DISTINCT orderNumber).  Using SUM(quantityOrdered) answers a different question and produces a different list (as can be seen by comparing the two result sets executed above).  
Because the phrase “amount of orders” can legitimately be read either as total quantity ordered or as number of orders, the question itself is ambiguous.  Given the more common interpretation (number of orders), the annotated SQL is incorrect.  ","SELECT p.`productName`
FROM `orderdetails` od
JOIN `products` p  ON p.`productCode` = od.`productCode`
GROUP BY p.`productCode`, p.`productName`
ORDER BY COUNT(DISTINCT od.`orderNumber`) ASC
LIMIT 5;",
1679,restaurant,TRUE,FALSE,Yuxuan,,,,What type of food is there in the restaurants on Adeline Street in Berkeley city?,"Adeline Street refers to street_name = 'adeline st'; type of food refers to food_type

",SELECT T1.food_type FROM generalinfo AS T1 INNER JOIN location AS T2 ON T1.id_restaurant = T2.id_restaurant WHERE T2.street_name = 'adeline st' AND T2.city = 'berkeley',correct,multiset,,FALSE,FALSE," The query joins generalinfo and location on id_restaurant, filters for street_name = 'adeline st' and city = 'berkeley', and selects food_type. This exactly matches the question, which asks for the types of food offered by restaurants on Adeline Street in Berkeley. The schema is used properly, and execution shows two food types (barbeque, mexican). Although adding DISTINCT could guard against duplicate food_type values if multiple restaurants share the same cuisine, the present query still returns the correct logical answer.",SELECT DISTINCT T1.`food_type` FROM `generalinfo` AS T1 JOIN `location` AS T2 ON T1.`id_restaurant` = T2.`id_restaurant` WHERE T2.`street_name` = 'adeline st' AND T2.`city` = 'berkeley';,
1681,restaurant,TRUE,FALSE,Yuxuan,,,,In which counties are there A&W Root Beer Restaurants?,A&W Root Beer Restaurant refers to label = 'a & w root beer',SELECT DISTINCT T2.county FROM generalinfo AS T1 INNER JOIN geographic AS T2 ON T1.city = T2.city WHERE T1.label = 'a & w root beer',correct,multiset,,FALSE,FALSE," The query joins `generalinfo` (to locate restaurants whose `label` is 'a & w root beer') with `geographic` (to translate each restaurant’s city into its county).  Selecting DISTINCT counties returns exactly the counties that contain at least one A&W Root Beer restaurant, with duplicates removed.  All tables/columns exist in the schema and the logic directly answers the question.",(no change needed),
1692,restaurant,TRUE,FALSE,Yuxuan,,restaurant refers to label; street Alameda de las Pulgas refers to street_name = 'alameda de las pulgas'; the worst rated refers to min(review),"SELECT T2.label 
FROM location AS T1 
INNER JOIN generalinfo AS T2 
ON T1.id_restaurant = T2.id_restaurant 
WHERE T1.street_name = 'alameda de las pulgas' AND T2.city = 'menlo park' 
AND review = (SELECT MIN(review) 
  FROM location AS T3 
  INNER JOIN generalinfo AS T4 
  ON T4.id_restaurant = T3.id_restaurant 
  WHERE T3.street_name = 'alameda de las pulgas' AND T4.city = 'menlo park')",Which restaurant on the street Alameda de las Pulgas in the city of Menlo Park is the worst rated?,restaurant refers to label; street Alameda de las Pulgas refers to street_name = 'avenida de las pulgas'; the worst rated refers to min(review),SELECT T2.label FROM location AS T1 INNER JOIN generalinfo AS T2 ON T1.id_restaurant = T2.id_restaurant WHERE T1.street_name = 'avenida de las pulgas' AND T2.city = 'menlo park' ORDER BY review LIMIT 1,"1. The original evidence and question uses a wrong street name.
2. The original query does not consider potential ties.",multiset,to add ties,TRUE,FALSE," The query intends to find the restaurant with the lowest review on Alameda de las Pulgas in Menlo Park, but it filters on `street_name = 'avenida de las pulgas'`. The data actually stores the street as `alameda de las pulgas`; consequently the query returns no rows and fails to answer the question. All other logic (join, city filter, ordering, limit) is appropriate, so correcting the street-name literal (and preferably applying a case-insensitive comparison) fixes the issue.","SELECT gi.`label`
FROM `location` AS l
JOIN `generalinfo` AS gi ON gi.`id_restaurant` = l.`id_restaurant`
WHERE lower(l.`street_name`) = 'alameda de las pulgas'
  AND lower(gi.`city`) = 'menlo park'
ORDER BY gi.`review` ASC
LIMIT 1;",
1697,restaurant,TRUE,FALSE,Yuxuan,,,,Calculate the average rating of reviews for restaurants in Santa Cruz County.,"average rating = divide(sum(review where county = 'santa cruz county'), count(id_restaurant where county = 'santa cruz county'))",SELECT AVG(T2.review) FROM geographic AS T1 INNER JOIN generalinfo AS T2 ON T1.city = T2.city WHERE T1.county = 'santa cruz county',correct,multiset,,FALSE,FALSE," The query joins `generalinfo` (restaurant‐level reviews) with `geographic` (city-level county information) on the common `city` column, then keeps only rows whose `county` is 'santa cruz county'. Because `generalinfo.id_restaurant` is a primary key, each restaurant appears once in the joined result, so `AVG(T2.review)` properly computes the mean rating for all restaurants located in Santa Cruz County. The query uses only valid columns and tables, adds no superfluous operations, and therefore answers the question exactly. The wording of the question is clear and unambiguous.  ",,
1710,restaurant,TRUE,FALSE,Yuxuan,,"restaurant refers to label; ""19th St. Oakland"" refers to street_name = '19th st' AND city = 'oakland'",SELECT T1.label FROM generalinfo AS T1 INNER JOIN location AS T2 ON T1.id_restaurant = T2.id_restaurant WHERE T1.city = 'oakland' AND T2.street_name = '19th st',"What are the restaurants that are located at ""19th St. Oakland""?","restaurant refers to label; ""19th St. Oakland"" refers to street_name = '19th St' AND city = 'Oakland'",SELECT T1.id_restaurant FROM generalinfo AS T1 INNER JOIN location AS T2 ON T1.id_restaurant = T2.id_restaurant WHERE T1.city = 'Oakland' AND T2.street_name = '19th St',"1. The original evidence is incorrect about the case of characters.
2. The original query does not return label.",multiset,,TRUE,FALSE," The question asks for the restaurants (i.e., their names/labels) located at ""19th St. Oakland"". The annotated query filters correctly on city = 'Oakland' and street_name = '19th St', but it SELECTs `id_restaurant` instead of the restaurant names (`label`). Therefore the query does not return the requested information, so it is incorrect. The question itself is clear; it clearly expects the restaurant names at that location, so there is no ambiguity.","SELECT `T1`.`label`
FROM `generalinfo` AS `T1`
JOIN `location` AS `T2` ON `T1`.`id_restaurant` = `T2`.`id_restaurant`
WHERE `T1`.`city` = 'Oakland'
  AND `T2`.`street_name` = '19th St';",
1712,restaurant,TRUE,FALSE,Yuxuan,,,SELECT T2.label FROM location AS T1 INNER JOIN generalinfo AS T2 ON T1.id_restaurant = T2.id_restaurant INNER JOIN geographic AS T3 ON T2.city = T3.city WHERE T3.region = 'unknown',Please name any three restaurants that have an unidentified region.,restaurant name refers to label; unidentified region refers to region = 'unknown',SELECT T2.label FROM location AS T1 INNER JOIN generalinfo AS T2 ON T1.id_restaurant = T2.id_restaurant INNER JOIN geographic AS T3 ON T2.city = T3.city WHERE T3.region = 'unknown' LIMIT 3,use subset grading,"subset,=,3",,FALSE,FALSE," The annotated query joins generalinfo (restaurant names) to geographic via city and filters for region = 'unknown', then returns three labels. This directly satisfies ""any three restaurants that have an unidentified region"". The extra join to location is superfluous but does not affect correctness because id_restaurant is primary key in both tables. Execution confirms adequate qualifying rows. No schema violations or logical errors are present.  ",,
1713,restaurant,TRUE,FALSE,Yuxuan,,restaurant name refers to label; Chinese restaurant refers to food_type = 'chinese'; 104 San Tomas Aquino Road Campbell refers to street_num = 104 AND street_name LIKE '%san tomas aquino rd%' AND city = 'campbell',SELECT T1.label FROM generalinfo AS T1 INNER JOIN location AS T2 ON T1.id_restaurant = T2.id_restaurant WHERE T2.street_num = 104 AND T1.city = 'campbell' AND T2.street_name LIKE '%san tomas aquino rd%' AND T1.food_type = 'chinese';,"What is the name of the Chinese restaurant that can be found at 104 San Tomas Aquino Road, Campbell?",restaurant name refers to label; Chinese restaurant refers to food_type = 'chinese'; 104 San Tomas Aquino Road Campbell refers to street_num = 104 AND street_name = 'san tomas aquino road' AND city = 'campbell',SELECT T1.label FROM generalinfo AS T1 INNER JOIN location AS T2 ON T1.id_restaurant = T2.id_restaurant WHERE T2.street_num = 104 AND T1.city = 'campbell' AND T2.street_name = 'san tomas aquino road',"1. the original evidence and query uses incorrect street_name, leading to empty results.
2. the original query does not filter on food type",multiset,,TRUE,TRUE," The location table shows two rows for Campbell with street_num 104 and street_name values ‘n san tomas aquino rd’ (id 3010) and ‘san tomas aquino rd.’ (id 3699). Both link to generalinfo rows whose food_type is ‘chinese’. The annotated query looks for street_name = ‘san tomas aquino road’, which matches none, hence empty result. Even if it matched, it should restrict to chinese food_type. Because two restaurants satisfy all conditions, singular question lacks unique answer.","SELECT DISTINCT g.label
FROM `generalinfo` g
JOIN `location`  l ON g.`id_restaurant` = l.`id_restaurant`
WHERE l.`street_num` = 104
  AND LOWER(l.`street_name`) LIKE '%san tomas aquino%'
  AND LOWER(g.`food_type`) = 'chinese'
  AND g.`city` = 'campbell';",
1714,restaurant,TRUE,FALSE,Yuxuan,,,,"How many Thai restaurants can be found in San Pablo Ave, Albany?",Thai restaurant refers to food_type = 'thai'; San Pablo Ave Albany refers to street_name = 'san pablo ave' AND T1.city = 'albany',SELECT COUNT(T1.id_restaurant) FROM generalinfo AS T1 INNER JOIN location AS T2 ON T1.id_restaurant = T2.id_restaurant WHERE T1.food_type = 'thai' AND T1.city = 'albany' AND T2.street_name = 'san pablo ave',correct,multiset,,FALSE,FALSE," Joining on the primary-key `id_restaurant` maintains a 1-to-1 relationship between the tables, so `COUNT(T1.id_restaurant)` gives an accurate total without duplicates. The WHERE clause matches Thai cuisine (`food_type = 'thai'`), limits to Albany (`T1.city = 'albany'`), and restricts the street (`T2.street_name = 'san pablo ave'`). No additional DISTINCT or GROUP BY is required.  ",(not needed),
1719,restaurant,TRUE,FALSE,Yuxuan,,,,What is the percentage of restaurants in the Bay Area region that scored over 4 for the review rating?,"scored over 4 refers to review > 4; percentage = divide(count(id_restaurant where region = 'bay area' and review > 4), count(id_restaurant where region = 'Bay Area')) * 100%","SELECT CAST(SUM(IIF(T2.review > 4, 1, 0)) AS REAL) * 100 / COUNT(T2.id_restaurant) FROM geographic AS T1 RIGHT JOIN generalinfo AS T2 ON T1.city = T2.city WHERE T1.region = 'bay area'",correct,multiset,,FALSE,FALSE," The query joins `generalinfo` (one row per restaurant) with `geographic` (one row per city) to restrict restaurants to those whose city belongs to the region “bay area”.  For this set it counts (denominator) all restaurants and, via IIF(review>4,1,0) (numerator), those whose review score is strictly greater than 4.  Dividing the two and multiplying by 100 yields the requested percentage.  The RIGHT JOIN behaves effectively as an INNER JOIN here because the subsequent WHERE clause keeps only the rows whose matching geographic record has `region='bay area'`; therefore the result is identical and correct.  All referenced columns exist, aggregation is correct, duplicates cannot arise, and the literal ‘bay area’ matches the data values (confirmed with a check of distinct region values).  The question is clear and unambiguous.",,
1721,restaurant,TRUE,FALSE,Yuxuan,,,,How many restaurants have more than 4 star reviews?,more than 4 star review refers to review > 4,SELECT COUNT(id_restaurant) AS cnt FROM generalinfo WHERE review > 4,correct,multiset,,FALSE,FALSE," The question asks for the count of restaurants whose review rating exceeds 4 stars. Each restaurant appears exactly once in the `generalinfo` table because `id_restaurant` is its primary key, and the review score is stored in the `review` column. Therefore, counting the rows in `generalinfo` where `review > 4` returns precisely the desired figure. No joins or DISTINCT are needed, and the sample execution (returning 32) demonstrates that the query runs and produces a single numeric result.  ",N/A,
1733,restaurant,TRUE,FALSE,Yuxuan,,,"WITH street_num AS (
  SELECT T2.street_name, COUNT(*) num
  FROM generalinfo AS T1 
  INNER JOIN location AS T2 
  ON T1.id_restaurant = T2.id_restaurant 
  WHERE T1.city = 'san francisco' AND T1.food_type = 'burgers' 
  GROUP BY T2.street_name 
) SELECT street_name FROM street_num WHERE num = (SELECT MAX(num) FROM street_num)",Which street in San Francisco has the most burger restaurants?,street refers to street_name; San Francisco refers to city = 'san francisco'; burger restaurant refers to food_type = 'burgers'; the most burger restaurants refers to max(count(street_name where food_type = 'burgers' and city = 'san francisco')),SELECT T2.street_name FROM generalinfo AS T1 INNER JOIN location AS T2 ON T1.id_restaurant = T2.id_restaurant WHERE T1.city = 'san francisco' AND T1.food_type = 'burgers' GROUP BY T2.street_name ORDER BY COUNT(T2.id_restaurant) DESC LIMIT 1,The original query does not consider ties.,multiset,,FALSE,FALSE," The join on `id_restaurant` is 1-to-1, so no duplicate inflation. `WHERE city = 'san francisco' AND food_type = 'burgers'` applies the necessary constraints. `GROUP BY street_name` with `COUNT(id_restaurant)` creates the desired counts, and `ORDER BY … DESC LIMIT 1` returns the street with the maximum count, answering the question directly. The query is schema-compliant and efficient.",(no revision needed),
1735,restaurant,TRUE,FALSE,Yuxuan,,,SELECT DISTINCT T2.county FROM generalinfo AS T1 INNER JOIN geographic AS T2 ON T1.city = T2.city WHERE T1.label = 'sankee',What is the county of the Sankee restaurant?,Sankee restaurant refers to label = 'sankee',SELECT T2.county FROM generalinfo AS T1 INNER JOIN geographic AS T2 ON T1.city = T2.city WHERE T1.label = 'sankee',The original query does not elimincate duplicates caused by join.,multiset,,FALSE,FALSE," The question asks for the county in which the restaurant named “Sankee” is located.  The `county` information is stored in table `geographic`; the restaurant’s city (needed to link to `geographic`) is stored in `generalinfo`.  

The annotated query joins `generalinfo` (`T1`) with `geographic` (`T2`) on the shared `city` column and filters rows whose `label` equals 'sankee'.  It then projects `T2.county`.  This precisely returns the county (or counties) where any restaurant labelled “Sankee” is found, which answers the question.  All columns and tables exist, join condition is correct, and no extraneous clauses are present.  Potential duplicates are unlikely to change the answer’s content, and casing of the literal depends on the data, but these do not make the logic wrong.  ",,
1738,restaurant,TRUE,FALSE,Yuxuan,,,"SELECT CAST(SUM(IIF(T1.region = 'bay area', 1, 0)) AS REAL) * 100 / COUNT(T2.id_restaurant) FROM geographic AS T1 RIGHT JOIN location AS T2 ON T1.city = T2.city",What percentage of restaurants are from the Bay Area?,"Bay Area refers to region = 'bay area'; percentage = divide(count(id_restaurant where region = 'bay area'), count(id_restaurant)) * 100%","SELECT CAST(SUM(IIF(T1.region = 'bay area', 1, 0)) AS REAL) * 100 / COUNT(T2.id_restaurant) FROM geographic AS T1 INNER JOIN location AS T2 ON T1.city = T2.city",There are records in the location table that have missing data in the geographic table. The original query disregards these missing data using inner join. ,multiset,,TRUE,FALSE," The annotated query counts only those restaurants whose `city` exists in table `geographic`, because it uses an INNER JOIN between `location` and `geographic`.  There are 9 539 restaurants in `location`, but only 9 314 of them have a matching city in `geographic` (225 miss a match).  Hence the denominator in the annotated query is 9 314, not 9 539.  All 225 unmatched restaurants are automatically excluded from both numerator and denominator, inflating the percentage reported: 8 972 / 9 314 ≈ 96.33 %.  Including the full set of restaurants the correct percentage is 8 972 / 9 539 ≈ 94.06 %.  Therefore the query does not give the right answer.  No major ambiguity exists in the question; it clearly requests the percentage of all restaurants that are located in the Bay Area.  ","```sql
SELECT SUM(CASE WHEN g.region = 'bay area' THEN 1 ELSE 0 END) * 100.0 / COUNT(l.id_restaurant) AS percentage_bay_area
FROM `location` AS l
LEFT JOIN `geographic` AS g ON l.city = g.city;
```",
1740,restaurant,TRUE,FALSE,Yuxuan,,,,List street names in San Francisco city.,,SELECT street_name FROM location WHERE city = 'San Francisco',correct,multiset,,TRUE,FALSE," The annotated query uses a case-sensitive comparison city = 'San Francisco'. In the data the value is stored in lowercase 'san francisco', so the query returns 0 rows (as we confirmed by executing a count). Therefore it does not answer the question. In addition, even if the case matched, the query would return every occurrence of a street for each restaurant, producing many duplicates (1197 rows vs 386 distinct). A natural reading of “List street names” expects each street name once, so DISTINCT should be used.  ",SELECT DISTINCT `street_name` FROM `location` WHERE `city` = 'san francisco';,
1748,restaurant,TRUE,FALSE,Yuxuan,,Italian food refers to food_type = 'italian',"WITH county_num AS (
  SELECT T2.county, COUNT(DISTINCT id_restaurant) num 
  FROM generalinfo AS T1 
  INNER JOIN geographic AS T2 
  ON T1.city = T2.city 
  WHERE T1.food_type = 'italian' 
  GROUP BY T2.county
) SELECT county FROM county_num WHERE num = (SELECT MAX(num) FROM county_num)",Which country has the most restaurants with Italian food?,Italian food refers to food_type = 'Italian',SELECT T2.county FROM generalinfo AS T1 INNER JOIN geographic AS T2 ON T1.city = T2.city WHERE T1.food_type = 'Italian' GROUP BY T2.county ORDER BY COUNT(T1.id_restaurant) DESC LIMIT 1,"1. The original query does not consider potential ties.
2. The original qeury and evidence uses a wrong predicate value for italian food.",multiset,to add ties,FALSE,FALSE," The query joins `generalinfo` with `geographic` on the common `city` field, filters to rows where `food_type = 'Italian'`, groups the remaining restaurants by `county` (which the schema notes represents the country), orders those groups by the number of restaurants in descending order, and returns the single country with the highest count (LIMIT 1). This logic directly answers “Which country has the most restaurants with Italian food?” and all referenced columns exist in the schema. No unnecessary clauses or missing conditions were identified.  ",,
1751,restaurant,TRUE,FALSE,Yuxuan,,, ,List down the cities with unknown country.,unknown county refers to county = 'unknown',SELECT city FROM geographic WHERE county = 'unknown',correct,multiset,,FALSE,FALSE,"  
The question asks to list all cities whose country is unknown. In the schema, the `geographic` table stores each city together with its country in the column `county`. The external note clarifies that an unknown country is represented by the literal string `'unknown'`. The annotated query
```
SELECT city
FROM geographic
WHERE county = 'unknown';
```
returns every city whose `county` value is `'unknown'`. Since `city` is the primary key, duplicates cannot occur, so no DISTINCT or extra clauses are required. The query therefore correctly and completely answers the question.",,
1763,restaurant,TRUE,FALSE,Yuxuan,,,,"Among all asian restaurants in N. Milpitas Blvd., Milpitas, how many of them have restaurant ID greater than 385?",asian restaurant refers to food_type = 'asian'; N. Milpitas Blvd. refers to street_name = 'n milpitas blvd'; Milpitas refers to city = 'milpitas'; restaurant ID greater than 385 refers to id_restaurant > 385,SELECT COUNT(T1.id_restaurant) AS num FROM location AS T1 INNER JOIN generalinfo AS T2 ON T1.id_restaurant = T2.id_restaurant WHERE T2.city = 'milpitas' AND T2.food_type = 'asian' AND T1.street_name = 'n milpitas blvd' AND T1.id_restaurant > 385,correct,multiset,,FALSE,FALSE," The annotated query joins `location` and `generalinfo` on `id_restaurant` (primary key in both tables) so each restaurant appears at most once, preventing duplicate counting. It then applies all conditions required by the question:
 • asian cuisine  →  `T2.food_type = 'asian'`
 • city Milpitas  →  `T2.city = 'milpitas'`
 • street N. Milpitas Blvd.  →  `T1.street_name = 'n milpitas blvd'`
 • id_restaurant > 385  →  `T1.id_restaurant > 385`
Finally it counts the matching rows.  Running the query on the database returns 1, matching an independently written check query, so it gives the correct answer and uses the schema properly.",,
1766,restaurant,TRUE,FALSE,Yuxuan,,22779 refers to street_num = 22779; 6th St. refers to street_name = '6th st',SELECT T2.food_type FROM location AS T1 INNER JOIN generalinfo AS T2 ON T1.id_restaurant = T2.id_restaurant WHERE T1.street_num = 22779 AND T1.street_name = '6th st' AND T2.city = 'hayward',"List the food type of the restaurant located in 22779 6th St., Hayward City.",22779 refers to street_num = 22779; 6th St. refers to street_name = '6th St',SELECT T2.food_type FROM location AS T1 INNER JOIN generalinfo AS T2 ON T1.id_restaurant = T2.id_restaurant WHERE T1.street_num = 22779 AND T1.street_name = '6th St' AND T2.city = 'hayward',The original query and evidence uses a wrong predicate value for street name.,multiset,,TRUE,FALSE," The query joins `location` and `generalinfo` correctly and applies the right address filters, but it uses `street_name = '6th St'` while the data actually stores the value as `""6th st""` (all lower-case). SQLite string comparison with the `=` operator is case-sensitive under the default collation, therefore the condition fails and the query returns no rows, so the requested food type is not produced. Everything else in the logic is fine, only the case mismatch makes the query wrong.  ","```
SELECT g.`food_type`
FROM `location`  AS l
JOIN `generalinfo` AS g
  ON l.`id_restaurant` = g.`id_restaurant`
WHERE l.`street_num` = 22779
  AND lower(l.`street_name`) = '6th st'
  AND lower(g.`city`) = 'hayward';
```",
1767,restaurant,TRUE,FALSE,Yuxuan,,,"SELECT COUNT(*)
FROM `location` AS l
JOIN `generalinfo` AS g ON l.`id_restaurant` = g.`id_restaurant`
WHERE l.`city` = 'san francisco'
  AND l.`street_name` = 'front'
  AND g.`food_type` = 'american';","How many American restaurants are located in Front, San Francisco?",American restaurant refers to food_type = 'american'; Front refers to street_name = 'front'; San Francisco refers to city = 'san francisco',SELECT COUNT(T2.food_type = 'american') FROM location AS T1 INNER JOIN generalinfo AS T2 ON T1.id_restaurant = T2.id_restaurant WHERE T1.city = 'san francisco' AND T1.street_name = 'front',The original query does not filter on food type for american food.,multiset,,TRUE,FALSE," The query tries to count American restaurants on Front Street in San Francisco, but it is written incorrectly. COUNT(T2.food_type = 'american') counts every row because the boolean expression (food_type = 'american') returns 0 or 1, both of which are non-NULL, so every joined row is included regardless of food type. The filter ""food_type = 'american'"" is therefore not applied. The correct approach is either to place that condition in the WHERE clause or to aggregate with a conditional sum. All other join and filter conditions are fine, and the question itself is clear and unambiguous.","SELECT COUNT(*)
FROM `location` AS l
JOIN `generalinfo` AS g ON l.`id_restaurant` = g.`id_restaurant`
WHERE l.`city` = 'san francisco'
  AND l.`street_name` = 'front'
  AND g.`food_type` = 'american';",
1770,restaurant,TRUE,FALSE,Yuxuan,,,,What is the name of the most popular restaurant serving Asian foods in San Francisco?,the most popular refers to max(review); Asian food refers to food_type = 'asian'; San Francisco refers to city = 'san francisco',SELECT label FROM generalinfo WHERE food_type = 'asian' AND city = 'san francisco' AND review = ( SELECT MAX(review) FROM generalinfo WHERE food_type = 'asian' AND city = 'san francisco' ),correct,multiset,,FALSE,FALSE," The question asks for the restaurant name with the highest popularity (defined in the documentation as the highest `review` score) among Asian-food restaurants located in San Francisco.  
• Table `generalinfo` already contains all required attributes: `label` (name), `food_type`, `city`, and `review`.  
• The annotated query filters rows to Asian restaurants in San Francisco and compares their `review` value to a sub-query returning the maximum review for the same filter, thereby selecting the restaurant(s) with the top rating.  
• The selected column `label` returns the required restaurant name(s).  
• No additional JOINs or DISTINCT clauses are needed; duplicates only arise if multiple restaurants share the same name and highest score, which is acceptable.  
Therefore, the SQL is logically correct and fully answers the question.  ",,
