question_id,corrected by,verified by,db_id,question,evidence,SQL,original_question,original_evidence,original_SQL,reason,SQL error pattern,verification (Tengjun),response,verification (Yoojin),response,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
1768,Yuxuan,Yoojin (response),restaurant,"Among American restaurants with street number greater than 2000, List the ID of restaurants that has a review greater than the 70% of average review of all American restaurants with street number greater than 2000.","American restaurant refers to food_type = 'american'; street number greater than 2000 refers to street_num > 2000; review greater than the 70% of average review refers to review > multiply(avg(review), 0.7)",WITH avg_rev AS (SELECT AVG(g.`review`) AS avg_review FROM `generalinfo` g JOIN `location` l ON g.`id_restaurant` = l.`id_restaurant` WHERE g.`food_type` = 'american' AND l.`street_num` > 2000 ) SELECT g.`id_restaurant` FROM `generalinfo` g JOIN `location` l ON g.`id_restaurant` = l.`id_restaurant` CROSS JOIN avg_rev WHERE g.`food_type` = 'american' AND l.`street_num` > 2000 AND g.`review` > 0.7 * avg_rev.avg_review,List the restaurant's ID that has a review greater than the 70% of average review of all American restaurants with street number greater than 2000.,,SELECT T1.id_restaurant FROM location AS T1 INNER JOIN generalinfo AS T2 ON T1.id_restaurant = T2.id_restaurant WHERE T2.food_type = 'american' AND T1.street_num > 2000 GROUP BY T1.id_restaurant ORDER BY AVG(T2.review) * 0.7 DESC,The original query never computes the overall average for the required subset nor filters on review > 0.7 × that average; it simply lists all American restaurants with street_num > 2000 and orders them.,,ambiguous,corrected question,should be either 'Among American restaurants with street number greater than 2000' in the question or 'l.`street_num` > 1000' in the SQL,corrected question,,,,,,,,,,,,,,,,
1775,Yuxuan,Yoojin,restaurant,In which region can you find the top 4 most popular restaurants?,the top 4 most popular restaurant refers to top 4 max(review),SELECT DISTINCT region FROM (SELECT T2.region FROM generalinfo AS T1 INNER JOIN geographic AS T2 ON T1.city = T2.city ORDER BY T1.review DESC LIMIT 4),,,SELECT T2.region FROM generalinfo AS T1 INNER JOIN geographic AS T2 ON T1.city = T2.city ORDER BY T1.review DESC LIMIT 4,"The query correctly joins generalinfo with geographic and orders the rows by highest review to identify the 4 restaurants with largest rating, but it simply returns the region value of each of those four rows. When more than one of the top-4 restaurants lies in the same region (which happens in the data), that region is repeated, so the output does not answer “In which region …?”—it should list each region only once.",duplicates,"wrong query, limit 4",corrected,,,,,,,,,,,,,,,,,,
1780,Yuxuan,Tengjun,restaurant,In which regions can you find the highest number of Baskin Robbins restaurants?,the highest number refers to max(count(city)); Baskin Robbins restaurant refers to label = 'baskin robbins',SELECT T2.region AS num FROM generalinfo AS T1 INNER JOIN geographic AS T2 ON T1.city = T2.city WHERE T1.label = 'baskin robbins' GROUP BY T2.region HAVING COUNT(T1.city) = (SELECT MAX(region_count) FROM (SELECT COUNT(T1.city) AS region_count FROM generalinfo AS T1 INNER JOIN geographic AS T2 ON T1.city = T2.city WHERE T1.label = 'baskin robbins' GROUP BY T2.region) AS subquery);,In which region can you find the highest number of Baskin Robbins restaurants?,,SELECT T2.region AS num FROM generalinfo AS T1 INNER JOIN geographic AS T2 ON T1.city = T2.city WHERE T1.label = 'baskin robbins' GROUP BY T2.region ORDER BY COUNT(T1.city) DESC LIMIT 1,The original query does not consider potential ties.,ties,,,,,,,,,,,,,,,,,,,,
1793,Yuxuan,Tengjun,soccer_2016,What is the bowling skill of SC Ganguly?,SC Ganguly refers to Player_Name = 'SC Ganguly',SELECT T1.Bowling_Skill FROM Bowling_Style AS T1 INNER JOIN Player AS T2 ON T2.Bowling_skill = T1.Bowling_Id WHERE T2.Player_Name = 'SC Ganguly',,,,correct,,,,,,,,,,,,,,,,,,,,,
1817,Yuxuan,Tengjun,soccer_2016,What is the batting hand of MK Pandey?,MK Pandey refers to Player_Name = 'MK Pandey',SELECT T2.Batting_hand FROM Player AS T1 INNER JOIN Batting_Style AS T2 ON T1.Batting_hand = T2.Batting_Id WHERE T1.Player_Name = 'MK Pandey',,,,correct,,,,,,,,,,,,,,,,,,,,,
1840,Yuxuan,Tengjun,soccer_2016,How many matches were played by the player with player ID 2?,player ID 2 refers to Player_Id = 2,SELECT COUNT(DISTINCT `Match_Id`) FROM `Player_Match` WHERE `Player_Id` = 2;,,,SELECT SUM(CASE WHEN Player_Id = 2 THEN 1 ELSE 0 END) FROM Player_Match,"Table `Player_Match` contains one row per (Match_Id, Player_Id, Role_Id), so a player may have multiple rows in the same match when he played multiple roles.",,,,,,,,,,,,,,,,,,,,,
1864,Yuxuan,Tengjun,soccer_2016,"Among the players who were born in 1977, provide names and birthdates of the players from England.",born in 1977 refers to DOB LIKE '1977%'; name refers to Player_Name; birthdate refers to DOB; England refers to Country_Name = 'England',"SELECT T2.Player_Name, T2.DOB FROM Country AS T1 INNER JOIN Player AS T2 ON T2.Country_Name = T1.Country_Id WHERE T2.DOB LIKE '1977%' AND T1.Country_Name = 'England'",,,,correct,,,,,,,,,,,,,,,,,,,,,
1888,Yuxuan,Tengjun,soccer_2016,Calculate the total winning match for Deccan Chargers.,winning refers to Match_Winner; Deccan Chargers refers to Team_Name = 'Deccan Chargers',SELECT COUNT(*) AS total_wins FROM `Match` AS m JOIN `Team` AS t ON t.`Team_Id` = m.`Match_Winner` WHERE t.`Team_Name` = 'Deccan Chargers';,,,SELECT SUM(T2.Match_Winner) FROM Team AS T1 INNER JOIN Match AS T2 ON T1.Team_Id = T2.Match_Winner WHERE T1.Team_Name = 'Deccan Chargers',"The original query adds the numerical values of `Match_Winner` (team-ids) instead of counting matches won by Deccan Chargers, so it returns an incorrect total.",,,,,,,,,,,,,,,,,,,,,
1934,Yuxuan,Tengjun,soccer_2016,Give me the match ID and date of the matches that were held in Kingsmead for three consecutive days.,date of the matches refers to Match_Date; held in Kingsmead refers to Venue_Name = 'Kingsmead',"WITH kingsmead_matches AS ( SELECT M.Match_Id, M.Match_Date FROM `Match` M JOIN `Venue` V ON M.`Venue_Id` = V.`Venue_Id` WHERE V.`Venue_Name` = 'Kingsmead' ), unique_dates AS ( SELECT DISTINCT `Match_Date` FROM kingsmead_matches ), ordered AS ( SELECT `Match_Date`, ROW_NUMBER() OVER (ORDER BY `Match_Date`) AS rn FROM unique_dates ), seq_marker AS ( SELECT `Match_Date`, DATE(`Match_Date`, '-' || rn || ' day') AS grp FROM ordered ), valid_groups AS (SELECT grp FROM seq_marker GROUP BY grp HAVING COUNT(*) >= 3 ), wanted_dates AS ( SELECT `Match_Date` FROM seq_marker WHERE grp IN (SELECT grp FROM valid_groups) ) SELECT km.`Match_Id`, km.`Match_Date` FROM kingsmead_matches km WHERE km.`Match_Date` IN (SELECT `Match_Date` FROM wanted_dates) ORDER BY km.`Match_Date`, km.`Match_Id`;",,,"SELECT T1.Match_Id, T1.Match_Date FROM `Match` AS T1 INNER JOIN Venue AS T2 ON T1.Venue_Id = T2.Venue_Id WHERE T2.Venue_Name = 'Kingsmead'"," The given query only filters matches whose venue is Kingsmead; it never checks whether their dates form a run of three successive calendar days, so it does not satisfy the “three consecutive days” requirement.",,,,,,,,,,,,,,,,,,,,,
1941,Yuxuan,Tengjun,soccer_2016,"Count the match IDs in which V Kohli is the ""Man of the Match"".",,SELECT COUNT(*) AS match_count FROM `Match` AS M JOIN `Player` AS P ON M.`Man_of_the_Match` = P.`Player_Id` WHERE P.`Player_Name` = 'V Kohli';,"Tally the match IDs in which V Kohli is the ""Man of the Match"".",,SELECT T1.Match_Id FROM `Match` AS T1 INNER JOIN Player AS T2 ON T1.Man_of_the_Match = T2.Player_Id WHERE T2.Player_Name = 'V Kohli',"The original SQL lists the `Match_Id` values for which Virat Kohli was `Man_of_the_Match`.  However, the natural-language request says “Tally the match IDs …”.  The verb “tally” generally means “count”, whereas “match IDs” can also suggest that the IDs themselves should be returned.",,,,,,,,,,,,,,,,,,,,,
1957,Yuxuan,Tengjun,soccer_2016,How many players bowl in the legbreak style?,legbreak style refers to Bowling_skill = 'Legbreak',SELECT COUNT(*) AS Num_players FROM `Player` AS P JOIN `Bowling_Style` AS B ON P.`Bowling_skill` = B.`Bowling_Id` WHERE B.`Bowling_skill` = 'Legbreak';,,,SELECT T1.Player_Name FROM Player AS T1 INNER JOIN Bowling_Style AS T2 ON T1.Bowling_skill = T2.Bowling_Id WHERE T2.Bowling_skill = 'Legbreak',"The annotated query joins Player with Bowling_Style and filters those whose bowling skill is “Legbreak”, but it returns a list of player names.",,,,,,,,,,,,,,,,,,,,,
1963,Yuxuan,Tengjun,soccer_2016,Who are the youngest players to have won the Purple Cap? List their names,"Who refers to Player_Name; youngest player to have won the Purple Cap refers to min(subtract(Season_Year, DOB))","WITH winner_age AS ( SELECT p.Player_Name, (s.Season_Year - CAST(strftime('%Y', p.DOB) AS INT)) AS age FROM   Player  p JOIN   Season  s ON p.Player_Id = s.Purple_Cap ) SELECT Player_Name FROM   winner_age WHERE  age = (SELECT MIN(age) FROM winner_age);",Who is the youngest player to have won the Purple Cap?,,"SELECT T1.Player_Name FROM Player AS T1 INNER JOIN Season AS T2 ON T1.Player_Id = T2.Purple_Cap ORDER BY T2.Season_Year - SUBSTR(T1.DOB, 1, 4) LIMIT 1","Three players - Sohail Tanvir (2008), RP Singh (2009) and PP Ojha (2010) - all share that minimum estimated age (24). Because the annotated SQL orders by the age expression and applies LIMIT 1, it returns only one of these equally-young winners and the choice is nondeterministic (no secondary sort key).",,,,,,,,,,,,,,,,,,,,,
1981,Yuxuan,Tengjun,soccer_2016,Provide match ID which had the extra type of penalty.,extra type of penalty refers to Extra_Name = 'penalty';,SELECT DISTINCT `T1`.`Match_Id` FROM `Extra_Runs` AS `T1` JOIN `Extra_Type` AS `T2` ON `T1`.`Extra_Type_Id` = `T2`.`Extra_Id` WHERE `T2`.`Extra_Name` = 'penalty',,,SELECT T1.Match_Id FROM Extra_Runs AS T1 INNER JOIN Extra_Type AS T2 ON T1.Extra_Type_Id = T2.Extra_Id WHERE T2.Extra_Name = 'penalty',"The query uses the right tables and condition (join Extra_Runs to Extra_Type and filter where Extra_Name = 'penalty') so it finds the intended matches.  Nevertheless Extra_Runs contains one record per ball, so the same Match_Id will appear once for every penalty delivery.",,,,,,,,,,,,,,,,,,,,,
1982,Yuxuan,Tengjun,soccer_2016,Name the teams played in a match which resulted in a tie in 2015.,"resulted in a tie refers to Win_Type = 'Tie'; in 2015 refers to SUBSTR(Match_Date, 1, 4) = 2015","SELECT DISTINCT T1.`Team_Name` FROM `Team` AS T1 JOIN `Match` AS M ON (T1.`Team_Id` = M.`Team_1` OR T1.`Team_Id` = M.`Team_2`) JOIN `Win_By` AS W ON M.`Win_Type` = W.`Win_Id` WHERE SUBSTR(M.`Match_Date`,1,4) = '2015' AND W.`Win_Type` = 'Tie';",,,"SELECT T1.Team_Name FROM Team AS T1 INNER JOIN Match AS T2 ON T1.Team_Id = T2.Team_1 OR T1.Team_Id = T2.Team_2 INNER JOIN Win_By AS T3 ON T2.Win_Type = T3.Win_Id WHERE SUBSTR(T2.Match_Date, 1, 4) = '2015' AND T3.Win_Type = 'Tie' LIMIT 1","The original query returns only one team because of LIMIT 1, so it does not list all teams that took part in the 2015 tie match(es). It also lacks DISTINCT to avoid duplicates.",,,,,,,,,,,,,,,,,,,,,
2008,Yuxuan,Tengjun,soccer_2016,List the names of players who play by the left hand.,play by the left hand refers to Batting_hand =   'Left-hand bat',SELECT T1.Player_Name FROM Player AS T1 INNER JOIN Batting_Style AS T2 ON T1.Batting_hand = T2.Batting_Id WHERE T2.Batting_hand = 'Left-hand bat',,,,correct,,,,,,,,,,,,,,,,,,,,,
2022,Yuxuan,Tengjun,soccer_2016,What is the outcome type of match ID 392195?,,SELECT T2.Outcome_Type FROM Match AS T1 INNER JOIN Outcome AS T2 ON T1.Outcome_type = T2.Outcome_Id WHERE T1.Match_Id = '392195',,,,correct,,,,,,,,,,,,,,,,,,,,,
2045,Yuxuan,Yoojin (response),music_tracker,What is the release title of the single that was released by Ron Hunt in 1979 that was downloaded 156 times?,release title refers to groupName; Ron Hunt is an artist; groupYear = 1979; releaseType = 'single'; downloaded 156 times refer to totalSnatched = 156;,SELECT groupName FROM torrents WHERE artist LIKE '%Ron Hunt%' AND groupYear = 1979 AND releaseType LIKE 'single' AND totalSnatched = 156,What is the release title of the single that was released by Ron Hunt in 1979 that was downloaded 239 times?,release title refers to groupName; Ron Hunt is an artist; groupYear = 1979; releaseType = 'single'; downloaded 239 times refer to totalSnatched = 239;,SELECT groupName FROM torrents WHERE artist LIKE 'ron hunt & ronnie g & the sm crew' AND groupYear = 1979 AND releaseType LIKE 'single' AND totalSnatched = 239,The required data does not exist in the database. We changed the filter condition in the question.,empty result,empty,corrected question,correct evidence: downloaded 239 times → downloaded 156 times,corrected evidence and SQL,corrected evidence,,,,,,,,,,,,,,,
2057,Yuxuan,Yoojin,music_tracker,"How many tags does the release ""city funk"" have？","release ""city funk"" refers to groupName = 'city funk';",SELECT COUNT(DISTINCT T2.tag) FROM torrents AS T1 INNER JOIN tags AS T2 ON T1.id = T2.id WHERE T1.groupName = 'city funk',,,SELECT COUNT(T2.tag) FROM torrents AS T1 INNER JOIN tags AS T2 ON T1.id = T2.id WHERE T1.groupName = 'city funk',"The question implies that we should count distinct tags. However, the original query count all the tags without deduplication.",,not a noise,I think we need to change the database,,,,,,,,,,,,,,,,,,
2075,Yuxuan,Tengjun,music_tracker,"Among the artists with the id from 10 to 30. Which artists released the product with the tag ""funk"" in 1980?",id from 10 to 30 refers to id between 10 and 30; groupYear = 1980;,SELECT DISTINCT T1.artist FROM torrents AS T1 INNER JOIN tags AS T2 ON T1.id = T2.id WHERE T2.tag = 'funk' AND T1.groupYear = 1980 AND T1.id BETWEEN 10 AND 30,"Among the artists with the id from 10 to 30. Which artist released the product with the tag ""funk"" in 1980?",,SELECT T1.artist FROM torrents AS T1 INNER JOIN tags AS T2 ON T1.id = T2.id WHERE T2.tag = 'funk' AND T1.groupYear = 1980 AND T1.id BETWEEN 10 AND 30,"The question might lead to multiple artists. Therefore, plura artists should be used. The result could contain duplicates if several rows match the same artist. However, the original query does not deduplicate the result.",,"same answer, need to modify the database",noted,,,,,,,,,,,,,,,,,,
2110,Yuxuan,Tengjun,world_development_indicators,List down the series codes in which the topic is about Environment: Emissions and the license type is restricted.,,SELECT SeriesCode FROM Series WHERE Topic = 'Environment: Emissions' AND LicenseType = 'Restricted',List down the series codes in which the topic is about Environment: Emissions and the license type is restricted. Please include their alpha code.,,,The question itself is ambiguous because the term “alpha code” is undefined in the context of the schema.,,,,,,,,,,,,,,,,,,,,,
2114,Yuxuan,Tengjun,world_development_indicators,Please write down the footnote descriptions of Albania in 1981.,Albania is the name of country where Country = 'Albania',SELECT DISTINCT T1.Description FROM FootNotes AS T1 INNER JOIN Country AS T2 ON T1.Countrycode = T2.CountryCode WHERE T1.Year = 'YR1981' AND T2.ShortName = 'Albania',,,,correct,,,,,,,,,,,,,,,,,,,,,
2145,Yuxuan,Tengjun,world_development_indicators,"From 1960 to 1965, which countries have the lowest value of indicator belongs to Health: Population: Structure? Return all such countries",From 1960 to 1965 refers to Year between '1960' and '1965'; the lowest value implies MIN(Value); country refers to CountryName;,SELECT DISTINCT i.`CountryName` FROM `Indicators` i JOIN `Series` s ON i.`IndicatorName` = s.`IndicatorName` WHERE s.`Topic` = 'Health: Population: Structure' AND i.`Year` BETWEEN 1960 AND 1965 AND i.`Value` = ( SELECT MIN(i2.`Value`) FROM `Indicators` i2 JOIN `Series` s2 ON i2.`IndicatorName` = s2.`IndicatorName` WHERE s2.`Topic` = 'Health: Population: Structure' AND i2.`Year` BETWEEN 1960 AND 1965 );,"From 1960 to 1965, which country has the lowest value of indicator belongs to Health: Population: Structure?",,SELECT CountryName FROM Indicators WHERE Value = ( SELECT MIN(T1.Value) FROM Indicators AS T1 INNER JOIN Series AS T2 ON T1.IndicatorName = T2.IndicatorName WHERE T1.Year >= 1960 AND T1.Year < 1966 AND T2.Topic = 'Health: Population: Structure' ),"Several countries share the same minimum value and the question does not clarify whether to return one or all; thus multiple valid answers exist. In addition, the original query leaves out the topic/year filters in the outer query, so it returns every country whose value equals the global minimum, regardless of topic or year; result set is wrong.",,,,,,,,,,,,,,,,,,,,,
2150,Yuxuan,Yoojin,world_development_indicators,List out the long name of countries using an indicator code as DT.DOD.DSTC.CD,,SELECT DISTINCT c.`LongName` FROM `Country` AS c JOIN `Indicators` AS i ON i.`CountryCode` = c.`CountryCode` WHERE i.`IndicatorCode` = 'DT.DOD.DSTC.CD',List out the long name of countries using series code as DT.DOD.DSTC.CD,,SELECT T1.LongName FROM Country AS T1 INNER JOIN CountryNotes AS T2 ON T1.CountryCode = T2.Countrycode WHERE T2.SeriesCode = 'DT.DOD.DSTC.CD',"The query joins Country to CountryNotes and returns countries that have a note for series code DT.DOD.DSTC.CD. Only three countries have such notes, but the actual data for whether a country “uses” that series lives in the Indicators table. An inspection of the data shows 131 distinct countries with IndicatorCode = 'DT.DOD.DSTC.CD' in Indicators, so the annotated query omits most of the correct answers. Hence it is logically incorrect even though it runs without error.",,this is indicator code rather than series code,corrected the question,,,,,,,,,,,,,,,,,,
2157,Yuxuan,Tengjun,world_development_indicators,List out the country code and country name of the rich countries using Euro as their currency unit,Non-OECD and OECD countries can be regarded as rich countries for those that are part of the High Income Group;,"SELECT DISTINCT T1.CountryCode, T2.CountryName FROM Country AS T1 INNER JOIN Indicators AS T2 ON T1.CountryCode = T2.CountryCode WHERE T1.CurrencyUnit = 'Euro' AND (T1.IncomeGroup = 'High income: OECD' OR T1.IncomeGroup = 'High income: nonOECD')",,,,correct,,,,,,,,,,,,,,,,,,,,,
2164,Yuxuan,Yoojin (response),world_development_indicators,How many of the countries do not have special notes?,do not have special notes implies SpecialNotes are NULL;,SELECT COUNT(LongName) FROM Country WHERE SpecialNotes = '',How many of the countries do not have special notes? List the long name.,,SELECT COUNT(LongName) FROM Country WHERE SpecialNotes = '' UNION SELECT longname FROM country WHERE specialnotes = '',Aggregation and selection cannot be returned in a single query.,,output format,corrected,"SQL returns both number of countries and their long names, so it's only correct for the original question. Removing after UNION returns the correct output",corrected SQL,,,,,,,,,,,,,,,,
2165,Yuxuan,Tengjun,world_development_indicators,Which high income group countries are from East Asia & Pacific? List the country codes of such countries.,Asia is the name of the region;,SELECT CountryCode FROM Country WHERE (IncomeGroup = 'High income: OECD' OR IncomeGroup = 'High income: nonOECD') AND Region = 'East Asia & Pacific',Which high income group countries are from Asia?,,"SELECT CountryCode, Region FROM Country WHERE (IncomeGroup = 'High income: OECD' OR IncomeGroup = 'High income: nonOECD') AND Region LIKE '%Asia%'","The question itself is somewhat ambiguous because the World Bank region field does not have a single value 'Asia'; instead Asia is split across 'South Asia', 'East Asia & Pacific', and part of 'Middle East & North Africa'. The question also does not clearly specify the fields to return.",,,,,,,,,,,,,,,,,,,,,
2167,Yuxuan,Yoojin,world_development_indicators,Which low income countries have a indicator code of DT.DOD.DECT.CD? Name the country code of them.,IncomeGroup = 'Low income';,SELECT DISTINCT I.CountryCode FROM Country  C JOIN Indicators I ON C.CountryCode = I.CountryCode WHERE C.IncomeGroup = 'Low income' AND I.IndicatorCode = 'DT.DOD.DECT.CD';,Which low income country has a series code of DT.DOD.DECT.CD? Name the country code of it.,,SELECT T1.CountryCode FROM Country AS T1 INNER JOIN CountryNotes AS T2 ON T1.CountryCode = T2.Countrycode WHERE T1.IncomeGroup = 'Low income' AND T2.Seriescode = 'DT.DOD.DECT.CD',"Ambiguity exists because the wording “Which low income country” is singular while the data contain 29 such countries; moreover, “series code” could refer to the IndicatorCode in Indicators or the Seriescode in several *Notes tables, all valid interpretations. We changed the question to filter indicator code to avoid ambiguity.",,this is indicator code rather than series code,corrected question,,,,,,,,,,,,,,,,,,
2175,Yuxuan,Yoojin (response),world_development_indicators,"How many countries have country note description as ""Sources: UN Energy Statistics (2014)""?",countries refer to CountryCode; currency refers to CurrencyUnit;,SELECT COUNT(DISTINCT T1.Countrycode) FROM Country AS T1 INNER JOIN CountryNotes AS T2 ON T1.CountryCode = T2.Countrycode WHERE T2.Description = 'Sources: UN Energy Statistics (2014)';,"How many countries have country note description as ""Sources: UN Energy Statistics (2014)""? List the currency of these countries.",,SELECT COUNT(DISTINCT T1.Countrycode) FROM Country AS T1 INNER JOIN CountryNotes AS T2 ON T1.CountryCode = T2.Countrycode WHERE T2.Description = 'Sources: UN Energy Statistics (2014)' UNION SELECT DISTINCT t1.CurrencyUnit FROM country AS t1 INNER JOIN countrynotes AS t2 ON t1.CountryCode = t2.Countrycode WHERE t2.Description = 'Sources: UN Energy Statistics (2014)',Aggregation and selection cannot be returned in a single query.,,output format,corrected,"SQL returns both number of countries and their currencies, so it's only correct for the original question. Removing after UNION returns the correct output",corrected SQL,,,,,,,,,,,,,,,,
2231,Yuxuan,Tengjun,world_development_indicators,What's the lastest household survey in Angola?,in Angola refers to ShortName = 'Angola'; when refers to PppSurveyYear,SELECT LatestHouseholdSurvey FROM Country WHERE ShortName = 'Angola',What's the lastest household survey in Angola and when did it take place?,,"SELECT LatestHouseholdSurvey, PppSurveyYear FROM Country WHERE ShortName = 'Angola'","The original query correctly selects `LatestHouseholdSurvey` but also selects `PppSurveyYear`, whose definition is the year of the last Purchasing-Power-Parity price survey, not the household survey.",,,,,,,,,,,,,,,,,,,,,
2248,Yuxuan,Tengjun,movielens,"Among the users who gave a rating of 5, how many of them are male?",Male users mean that u_gender = 'M',SELECT COUNT(DISTINCT T1.userid) FROM u2base AS T1 INNER JOIN users AS T2 ON T1.userid = T2.userid WHERE T1.rating = 5 AND T2.u_gender = 'M',,,SELECT COUNT(T1.userid) FROM u2base AS T1 INNER JOIN users AS T2 ON T1.userid = T2.userid WHERE T1.rating = 5 AND T2.u_gender = 'M',"The original query counts rows, not distinct users, so users who rated several movies with 5 are over-counted.",,,,,,,,,,,,,,,,,,,,,
2249,Yuxuan,Tengjun,movielens,List the distinct genres of the movies which actor id 851 is the star.,,SELECT DISTINCT T2.genre FROM movies2actors AS T1 INNER JOIN movies2directors AS T2 ON T1.movieid = T2.movieid INNER JOIN actors AS T3 ON T1.actorid = T3.actorid WHERE T3.actorid = 851,List the genres of the movies which actor id 851 is the star.,,SELECT T2.genre FROM movies2actors AS T1 INNER JOIN movies2directors AS T2 ON T1.movieid = T2.movieid INNER JOIN actors AS T3 ON T1.actorid = T3.actorid WHERE T3.actorid = 851,"The query does retrieve the genres of the movies in which actor 851 appears by joining `movies2actors` with `movies2directors`, but it can return the same genre more than once because `movies2directors` may hold multiple rows per movie (one per director). To make it clear, we ask for distinct genres of the movies.",,,,,,,,,,,,,,,,,,,,,
2272,Yuxuan,Yoojin (response),movielens,Please list down ID of movies acted by actors who received a rating of 5.,,WITH top_actors AS ( SELECT `actorid` FROM `actors` WHERE `a_quality` = 5 ) SELECT DISTINCT `movieid` FROM `movies2actors` WHERE `actorid` IN (SELECT `actorid` FROM top_actors),Please list down ID of movies acted by top 5 actors based on actor rating.,,SELECT T2.movieid FROM actors AS T1 INNER JOIN movies2actors AS T2 ON T1.actorid = T2.actorid GROUP BY T2.actorid ORDER BY AVG(T1.a_quality) DESC LIMIT 5,"The original query returns only one arbitrary movie per actor rather than all movies for the top-5 actors. There are many actors have the same highest rating (5). Therefore, the question is ambiguious.",,more than 5 actors,correted,correct question: acted by 5 actors → acted by actors,corrected question,,,,,,,,,,,,,,,,
2275,Yuxuan,Tengjun,movielens,What is the difference of female and male audiences in number who viewed horror movies?,The audience and users are the same meaning; Difference of female and male audiences = count(female users) - count(male users); Female users refers to u_gender = 'F'; Male users refers to u_gender = 'M',"SELECT SUM(CASE WHEN gender = 'F' THEN 1 WHEN gender = 'M' THEN -1 END) AS diff FROM ( SELECT DISTINCT u.userid id, u.u_gender gender FROM users u JOIN u2base ub  ON ub.userid = u.userid JOIN movies2directors md ON md.movieid = ub.movieid WHERE md.genre = 'Horror' ) t",,,"SELECT SUM(IIF(T2.u_gender = 'F', 1, 0)) - SUM(IIF(T2.u_gender = 'M', 1, 0)) FROM u2base AS T1 INNER JOIN users AS T2 ON T1.userid = T2.userid INNER JOIN movies2directors AS T3 ON T3.movieid = T1.movieid WHERE T3.genre = 'horror'","The original query joins `u2base` with `movies2directors` directly. Because `movies2directors` may contain several rows per movie (one per director) every user-movie rating is replicated for each director attached to that movie; this inflates the counts. In addition, the query sums over all joined rows, so a single user who rated several horror movies will also be counted several times. The requested value is the difference in the NUMBER OF AUDIENCES (distinct users) who viewed at least one horror movie, so each user should be counted once at most. Therefore the logic is wrong even though the used columns and filters are syntactically valid.",,,,,,,,,,,,,,,,,,,,,
2288,Yuxuan,Tengjun,movielens,What is the highest average rating for action movies made in the USA?,USA is a country,SELECT AVG(T2.rating) FROM movies AS T1 INNER JOIN u2base AS T2 ON T1.movieid = T2.movieid INNER JOIN movies2directors AS T3 ON T1.movieid = T3.movieid WHERE T1.country = 'USA' AND T3.genre = 'Action' GROUP BY T1.movieid ORDER BY AVG(T2.rating) DESC LIMIT 1,,,,correct,,,,,,,,,,,,,,,,,,,,,
2299,Yuxuan,Tengjun,movielens,List all of the user ids and ages who rated movies with the id 1695219?,,"SELECT T2.userid, T2.age FROM u2base AS T1 INNER JOIN users AS T2 ON T1.userid = T2.userid WHERE T1.movieid = 1695219",,,,correct,,,,,,,,,,,,,,,,,,,,,
2301,Yuxuan,Yoojin (response),movielens,Give the respective numbers of actors and directors for the movie with id 1949144.,,"SELECT COUNT(DISTINCT T1.actorid), COUNT(DISTINCT T2.directorid) FROM movies2actors AS T1 INNER JOIN movies2directors AS T2 ON T1.movieid = T2.movieid WHERE T1.movieid = 1949144",List the cast and the director of the movie with the id 1949144.,,"SELECT T1.actorid, T2.directorid FROM movies2actors AS T1 INNER JOIN movies2directors AS T2 ON T1.movieid = T2.movieid WHERE T1.movieid = 1949144",It is unclear whether the question asks for ids or names.,,output format,Why the output format is unclear?,suggestion to completely remove the ambiguity: Give the respective numbers of actors and directors for the movie with id 1949144.,discuss,corrected question,,,,,,,,,,,,,,,
2303,Yuxuan,Tengjun,movielens,What is the proportion of action movies directors who are called 'box office success paradox'?,box office success paradox' means average revenue exceeds their quality; The proportion can be computed by [(avg_revenue > d_quality) / ()] * 100%,SELECT 100.0 * SUM(CASE WHEN d.avg_revenue > d.d_quality THEN 1 ELSE 0 END) / COUNT(*) AS proportion_paradox_directors FROM ( SELECT DISTINCT m2d.directorid FROM movies2directors AS m2d WHERE m2d.genre = 'Action' ) AS ad JOIN directors AS d ON ad.directorid = d.directorid;,,,"SELECT CAST(SUM(IIF(T2.avg_revenue > T2.d_quality, 1, 0)) AS REAL) * 100 / COUNT(T1.movieid) FROM movies2directors AS T1 INNER JOIN directors AS T2 ON T1.directorid = T2.directorid WHERE T1.genre = 'Action'",duplicates of directors cause wrong denominator.,,,,,,,,,,,,,,,,,,,,,
2337,Yuxuan,Tengjun,movielens,What is the total number of movies directed by directors whose quality and revenue are both 4?,,SELECT COUNT(DISTINCT `m2d`.`movieid`) AS `total_movies` FROM `directors` AS `d` JOIN `movies2directors` AS `m2d` ON `d`.`directorid` = `m2d`.`directorid` WHERE `d`.`d_quality` = 4 AND `d`.`avg_revenue` = 4,What is the total average movie directed by the directors who's quality and revenue is 4?,,SELECT CAST(SUM(CASE WHEN T1.d_quality = 4 AND T1.avg_revenue = 4 THEN 1 ELSE 0 END) AS REAL) / COUNT(T2.movieid) FROM directors AS T1 INNER JOIN movies2directors AS T2 ON T1.directorid = T2.directorid,"The question can have multiple interpretations: the total number of movies those directors have directed, the average number of movies per such director, or the average rating of their movies. The original query also fails to count DISTINCT movies; if a movie has several qualifying directors the numerator is inflated.",,,,,,,,,,,,,,,,,,,,,
